id	Jan	Feb	Mar	April	May	June	Jul	Aug	Sept	Oct	Nov	Dec
50.7	68.48605	127.4791	203.024825	301.14785	378.35255	416.9745	403.65215	341.8755	250.4175	158.7349	88.6289	56.63585
50.8	67.8528	126.8896	202.4492	300.7376	378.1168	416.832	403.4624	341.568	249.916	158.1264	88.0624	56.0256
50.9	67.22245	126.2999	201.873425	300.32665	377.88095	416.6905	403.27335	341.2595	249.4135	157.5181	87.4961	55.41865
51	66.595	125.71	201.2975	299.915	377.645	416.55	403.085	340.95	248.91	156.91	86.93	54.815
51.1	65.97045	125.1199	200.721425	299.50265	377.40895	416.4105	402.89735	340.6395	248.4055	156.3021	86.3641	54.21465
51.2	65.3488	124.5296	200.1452	299.0896	377.1728	416.272	402.7104	340.328	247.9	155.6944	85.7984	53.6176
51.3	64.73005	123.9391	199.568825	298.67585	376.93655	416.1345	402.52415	340.0155	247.3935	155.0869	85.2329	53.02385
51.4	64.1142	123.3484	198.9923	298.2614	376.7002	415.998	402.3386	339.702	246.886	154.4796	84.6676	52.4334
51.5	63.50125	122.7575	198.415625	297.84625	376.46375	415.8625	402.15375	339.3875	246.3775	153.8725	84.1025	51.84625
51.6	62.8912	122.1664	197.8388	297.4304	376.2272	415.728	401.9696	339.072	245.868	153.2656	83.5376	51.2624
51.7	62.28405	121.5751	197.261825	297.01385	375.99055	415.5945	401.78615	338.7555	245.3575	152.6589	82.9729	50.68185
51.8	61.6798	120.9836	196.6847	296.5966	375.7538	415.462	401.6034	338.438	244.846	152.0524	82.4084	50.1046
51.9	61.07845	120.3919	196.107425	296.17865	375.51695	415.3305	401.42135	338.1195	244.3335	151.4461	81.8441	49.53065
52	60.48	119.8	195.53	295.76	375.28	415.2	401.24	337.8	243.82	150.84	81.28	48.96
52.1	59.88445	119.2079	194.952425	295.34065	375.04295	415.0705	401.05935	337.4795	243.3055	150.2341	80.7161	48.39265
52.2	59.2918	118.6156	194.3747	294.9206	374.8058	414.942	400.8794	337.158	242.79	149.6284	80.1524	47.8286
52.3	58.70205	118.0231	193.796825	294.49985	374.56855	414.8145	400.70015	336.8355	242.2735	149.0229	79.5889	47.26785
52.4	58.1152	117.4304	193.2188	294.0784	374.3312	414.688	400.5216	336.512	241.756	148.4176	79.0256	46.7104
52.5	57.53125	116.8375	192.640625	293.65625	374.09375	414.5625	400.34375	336.1875	241.2375	147.8125	78.4625	46.15625
